Score,Text,Summary,HelpfulnessNumerator,HelpfulnessDenominator,helpfulness_ratio,word_count,Sentiment,clean_text
1,"I've been giving my daughter Gerber fruits, veggies, and meat as everyday-meals since she was 6 months old, thinking that she's got enough vitamins and prebiotics. However, she developed digestive problem and chronic constipation; she almost stopped gaining weight since she was 9 months old. I took her to GI and she told me that those packed fruits are all cooked! And there are additives to keep them fresh for long period of time! I started to puree fruits and veggies using Vitamix, and only use Gerber fruits&veggies when we are out and about. Now, after half a year of probiotics and wholesome food, she's slowly getting better and opens her mouth to food.",Gerber's fruits are cooked,0,1,0.0,114,Negative,ive giving daughter gerber fruits veggies meat everydaymeals since 6 months old thinking shes got enough vitamins prebiotics however developed digestive problem chronic constipation almost stopped gaining weight since 9 months old took gi told packed fruits cooked additives keep fresh long period time started puree fruits veggies using vitamix use gerber fruitsveggies half year probiotics wholesome food shes slowly getting better opens mouth food
5,"Absolutely LOVE this toy. We recently purchased this for our 8 month old French Bulldog after our trainer suggested feeding him by hand to prevent him from gobbling up his meals in 2 seconds as Frenchies do. While that's great in theory, there are many times we just can't sit and feed him his kibble bit by bit. We tried several Kong type products and he was able to either get his food out too quickly or grew bored and never ate. This toy makes him really work for his food and because he can see the food through the tube it really keeps his interest. My only gripe is that the plastic tube could be more sturdy. I love that it's see through but his jaws of steel have already done some damage to it, but perhaps we just need to experiment with a larger size (we have the small now) We've only had it a short time so I can't speak too much for longevity but for now it is an amazing solution.",Amazing toy for dogs who devour their food quickly,1,1,1.0,175,Positive,absolutely love toy recently purchased 8 month old french bulldog trainer suggested feeding hand prevent gobbling meals 2 seconds frenchies thats great theory many times cant sit feed kibble bit bit tried several kong type products able either get food quickly grew bored never ate toy makes really work food see food tube really keeps interest gripe plastic tube could sturdy love see jaws steel already done damage perhaps need experiment larger size small weve short time cant speak much longevity amazing solution
5,Just as the title says:  'Heaven!!'  My friend shared the Pocket Coffee she bought in Italy this summer and I immediately checked Amazon for it.  Now it is here -- have shared but it is difficult,Heaven!!,0,0,0.0,36,Positive,title says heaven friend shared pocket coffee bought italy summer immediately checked amazon shared difficult
5,"These are so good, I've been eating Grandma Utz's for years.  When I moved to Fla I could not find them in the stores, nor nothing that compared to them. (I am a potato chip lover, I think it is my birthmark lol)  I began sending for them, I put on many pounds lol I've lost them since tho' :).  I am now ready to order some for my Birthday in August. Prompt shipping so I'll hold off a few weeks.  ;). SO about 2 times a year I send for them in bulk.  Valentines & August. If you have not tried them you are in for a real treat.  Keep in mind they are kettle cooked in LARD & a crunchy chip, but are out of this world to me!  Try them, you'll love them as well. ENJOY!  gjp-h",The BEST of the best,1,1,1.0,140,Positive,good ive eating grandma utzs years moved fla could find stores nothing compared potato chip lover think birthmark lol began sending put many pounds lol ive lost since tho ready order birthday august prompt shipping ill hold weeks 2 times year send bulk valentines august tried real treat keep mind kettle cooked lard crunchy chip world try youll love well enjoy gjph
1,Disappointed with the red lentils because they cook down to a mush.  No discernable shapes of lentils are present when finished cooking.  Prefer dark brown or black lentils.  Don't know if Bob's Red Mill offers them.  Jean,mushy,0,25,0.0,37,Negative,disappointed red lentils cook mush discernable shapes lentils present finished cooking prefer dark brown black lentils dont know bobs red mill offers jean
5,"This filling is wonderful and a good value over buying it in the grocery store.<br />Take a white cake mix and mix it to direction and beat in a can of poppy seed filling and you have a wonderful, moist cake.  You won't reget it!",Wonderful Poppyseed Cakes,4,4,1.0,45,Positive,filling wonderful good value buying grocery storebr take white cake mix mix direction beat poppy seed filling wonderful moist cake wont reget
5,"When I first began learning of the benefits of coconut oil, I was shocked.  Now coconut oil is my go-to product of choice - cooking, health, beauty, first-aid.  My husband laughs because I always say ""put some coconut oil on .... (whatever is ailing at the moment).<br /><br />Nutiva makes a great coconut oil product. The aroma is delicious, and the taste (raw) is exactly as coconut should taste.  I use it for almost all our baking and cooking oil needs.  When I heat this oil, I find the coconut flavor disappears, i.e. my breads, cookies, veggies, etc. don't taste like coconut.<br /><br />My only complaint about this product is that it comes in a plastic container.  However, I've been buying this brand and product (different sizes on Subscribe & Save, depending on the price at shipping) for two years and don't plan on changing any time soon.",I love this coconut oil,0,0,0.0,148,Positive,first began learning benefits coconut oil shocked coconut oil goto product choice cooking health beauty firstaid husband laughs always say put coconut oil whatever ailing momentbr br nutiva makes great coconut oil product aroma delicious taste raw exactly coconut taste use almost baking cooking oil needs heat oil find coconut flavor disappears ie breads cookies veggies etc dont taste like coconutbr br complaint product comes plastic container however ive buying brand product different sizes subscribe save depending price shipping two years dont plan changing time soon
5,"These fruitsnacks are the ONLY ones I will give my child since they are the healthiest I've found. The added bonus is that they aren't as sticky/gummy as normal fruitsnacks, which can get caught in teeth and cause cavities. Being a Dental Hygienist and a Mom, I'm always on the lookout for teeth friendly snacks.<br />My 17month daughter has been given these from before she turned a year old due to the fact that they're very easy to chew.<br />I buy them at Target for much less than on Amazon. I just came on here to see if I could find them in bulk a bit cheaper than that. :)",Sometimes quality costs more,0,0,0.0,110,Positive,fruitsnacks ones give child since healthiest ive found added bonus arent stickygummy normal fruitsnacks get caught teeth cause cavities dental hygienist mom im always lookout teeth friendly snacksbr 17month daughter given turned year old due fact theyre easy chewbr buy target much less amazon came see could find bulk bit cheaper
5,I think this is a great hot cider. Love the caramel taste! Only 10 little calories. One of my favorite new K-cup beverages.,Best 10 Calorie Drink,0,0,0.0,23,Positive,think great hot cider love caramel taste 10 little calories one favorite new kcup beverages
5,"It only takes a cursory look at my reviewing history to realize that I haven't exactly made a career out of rating gum, but this new Trident Vitality is so darn good that I thought I'd better get in a few words on it. I've tried all three of the available flavors and can't seem to choose a favorite.<br /><br />The Citrus with Vitamin C flavor reviewed here is definitely pretty awesome. The gum has the physical profile of an old-school Chicklet. It definitely has a serious citrus taste profile, though I guess that there might be a slight strawberry backbone in there somewhere. But boy, does this gum LAST. I can usually go a good 3-4 hours and still get some flavor out of this stuff. That makes it a good value in my book for sure.<br /><br />Typically retails for around $1.39/pack at my local grocer, although I've caught it on sale for under a dollar once or twice. My kids and co-workers can't get enough of this gum.<br /><br />Highly recommended.","I like it, I really like it!!",2,3,0.6666666666666666,174,Positive,takes cursory look reviewing history realize havent exactly made career rating gum new trident vitality darn good thought id better get words ive tried three available flavors cant seem choose favoritebr br citrus vitamin c flavor reviewed definitely pretty awesome gum physical profile oldschool chicklet definitely serious citrus taste profile though guess might slight strawberry backbone somewhere boy gum last usually go good 34 hours still get flavor stuff makes good value book surebr br typically retails around 139pack local grocer although ive caught sale dollar twice kids coworkers cant get enough gumbr br highly recommended
5,"Our pediatrician recommended this flavor combination when we first started solids because it has 120% of daily iron needs.  Well, when I sat down to feed it to my baby, all I could was, wow, this is so gross!  It looks pretty much the same way going in as it does coming out, if you know what I mean.  To my surprise, my picky eater gobbled it up!  She ate more of this than any other baby food flavor we had offered.  A 2-3oz package of anything else was lasting two days, but she ate almost the whole 3.5oz package of this in one sitting.  I did taste it, and the apples make it sweet and appetizing (and I really do not like spinach).  We've had more success with Ella's Kitchen than any other brand, but this flavor especially has been great.  Looks gross, smells gross, sounds gross, but I say, give it a try.","Looks and smells gross, but my baby wouldn't stop eating it!",0,0,0.0,155,Positive,pediatrician recommended flavor combination first started solids 120 daily iron needs well sat feed baby could wow gross looks pretty much way going coming know mean surprise picky eater gobbled ate baby food flavor offered 23oz package anything else lasting two days ate almost whole 35oz package one sitting taste apples make sweet appetizing really like spinach weve success ellas kitchen brand flavor especially great looks gross smells gross sounds gross say give try
5,Bought this specifically because of the super low gluten content (if any). The husband and kids love it.,Great oatmeal,5,5,1.0,18,Positive,bought specifically super low gluten content husband kids love
5,My grandson is a beef jerky addict. We don't have much to choose from here so I ordered this. He absolutely loves it!!! He says it's not hard and has such a good taste. It's not too hot which would okay with him if it was.  He'd like more but he eats it so fast that it's going to be a sometime treat for him. The first day he ate 3 bags.,So good!,0,1,0.0,72,Positive,grandson beef jerky addict dont much choose ordered absolutely loves says hard good taste hot would okay hed like eats fast going sometime treat first day ate 3 bags
5,"My son is 10 months now and has been on this formula since I stopped breastfeeding him when he was 4 months. We have never had any issues with this formula. He has never had an upset stomach or has ever been fussy while on this formula. When I stopped breastfeeding him he transitioned very well. Every baby is different and formulas work different on every one, that is why there is so many choices, but we got lucky with our first choice of formula. I did try to switch him to the powdered formula but he absolutely hated it. It was the same type just powdered so I don't really know why he didnt like it. It was ok though we just kept him on the premade liquid. Luckily we didnt start him on the powdered because there ended up being a recall so we got lucky there too.",Similac Advance Liquid Formula,2,2,1.0,150,Positive,son 10 months formula since stopped breastfeeding 4 months never issues formula never upset stomach ever fussy formula stopped breastfeeding transitioned well every baby different formulas work different every one many choices got lucky first choice formula try switch powdered formula absolutely hated type powdered dont really know didnt like ok though kept premade liquid luckily didnt start powdered ended recall got lucky
1,"<a href=""http://www.amazon.com/gp/product/B003YBNIVU"">La Panzanella Tomato-oregano Croccantini Box, 5-Ounce Boxes (Pack of 12)</a><br />I received this item and every single box was broken. After reviewing the packing it was easy to tell that no one even considered that this irem would be totally damaged. It was not packaged in any kind of protective box to allow the item to be shipped safely.",La Panzanella Tomato-oregano,0,0,0.0,60,Negative,hrefhttpwwwamazoncomgpproductb003ybnivula panzanella tomatooregano croccantini box 5ounce boxes pack 12abr received item every single box broken reviewing packing easy tell one even considered irem would totally damaged packaged kind protective box allow item shipped safely
5,"We love this dog food. When our Husky was adopted, he was underweight, had a dull coat and was lethargic.  After some trial and error with getting him to eat, and all the dog food recalls, we found Dogswell. Now his coat is absolutely beautiful, his weight is perfect and he has a ton of happy Husky energy. We get compliments all the time about how soft, shiny and pronounced his coat is. We also notice less year round shedding and just deal with the seasonal coat blow. He is a finicky eater, but always excited for mealtime on Dogswell food. He also used to scratch and lick his one leg raw in spots. Once we started Dogswell,his itches and rashes never came back.  He never gets an upset stomach, poops less often because there is no filler. I cannot recommend this food enough. We've tried other brands such as Blue Buffalo, AvoDerm, Organix and nothing has compared to how well our dog does on Dogswell foods. We go back and forth between Vitality and Happy Hips, depending on what Amazon has available with no ill effects.",My Husky's favorite food,0,0,0.0,187,Positive,love dog food husky adopted underweight dull coat lethargic trial error getting eat dog food recalls found dogswell coat absolutely beautiful weight perfect ton happy husky energy get compliments time soft shiny pronounced coat also notice less year round shedding deal seasonal coat blow finicky eater always excited mealtime dogswell food also used scratch lick one leg raw spots started dogswellhis itches rashes never came back never gets upset stomach poops less often filler cannot recommend food enough weve tried brands blue buffalo avoderm organix nothing compared well dog dogswell foods go back forth vitality happy hips depending amazon available ill effects
1,"After reading the reviews, I was syked to receive my order of Ibarra chocolate.  I love hot chocolate, and look forward to trying new flavors and brands.  I've never had ""Mexican Chocolate"", so maybe this is what it is supposed to be like, but I didn't like it at all.  It was hard as a rock, tasteless, and messy.  I followed the instructions of boiling some milk, chopping the chocolate in my blender, and mixing it together.  It came out foamy, like one reviewer described, but I was surprised to find it tasteless and flat!!  I ended up adding 4 T. of my standard coco mix just so I could finish the drink.  This was not at all what I expected, so if any of those three reviewers are looking for an open package, you can purchase mine!  In one word: YUCK!!!",Sadly disappointed in this product,3,14,0.21428571428571427,142,Negative,reading reviews syked receive order ibarra chocolate love hot chocolate look forward trying new flavors brands ive never mexican chocolate maybe supposed like didnt like hard rock tasteless messy followed instructions boiling milk chopping chocolate blender mixing together came foamy like one reviewer described surprised find tasteless flat ended adding 4 standard coco mix could finish drink expected three reviewers looking open package purchase mine one word yuck
5,"I have been drinking Peet's coffee (mind you I still love Peet's, but it is 14 miles for me to drive one way to buy it and on sale is $9.99) so I thought I would try this in the dark roast Italian blend. I love a full bodied dark roast. I tend to go with this blend or french roast and this is  yummy... I will definitely be buying this on subscription as it is less per pound and just as good, and you can't beat Amazon shipping to the door....",Oh Yum!,1,1,1.0,92,Positive,drinking peets coffee mind still love peets 14 miles drive one way buy sale 999 thought would try dark roast italian blend love full bodied dark roast tend go blend french roast yummy definitely buying subscription less per pound good cant beat amazon shipping door
1,package improperly sent to a a southern state during hot weather via us mail arrived totally melted do not buy chocolate products unless shipper will include ice packs for cooling of product,melted,0,0,0.0,32,Negative,package improperly sent southern state hot weather via us mail arrived totally melted buy chocolate products unless shipper include ice packs cooling product
4,"The good news is that it is dark and relatively full bodied.  It was certainly better than the <a href=""http://www.amazon.com/gp/product/B009OWR0XU"">EIGHT O'CLOCK COFFEE 100% COLOMBIAN 96 K CUPS</a> that I tried before this cup.<br /><br />For twenty years, Eight O'Clock Colombian, ground fresh at A&P, was the only coffee we drank.  So I ordered both it and the dark Italian just as soon as they became available.  Either my tastes have changed or the coffee has changed but I found the Colombia version weak and lacking in character.<br /><br />The Eight O'Clock Italian Roast, however, was stout enough and should be to most people's liking.  I brewed it at the 7 oz (middle button) size and tried it without cream and then with a single squirt of coffee creamer.  It was strong enough to not let the cream taste dominate.<br /><br />The bad news is that it does not come up to the standard of either <a href=""http://www.amazon.com/gp/product/B004OLKF6K"">Barista Prima Coffeehouse, Italian Roast, 24- Count K-Cup Portion Pack for Keurig Brewers</a> or <a href=""http://www.amazon.com/gp/product/B001D0IZAS"">Timothy's World Coffee Rainforest Espresso K-Cup (48 count)</a>.",Good News and Bad News,0,0,0.0,179,Positive,good news dark relatively full bodied certainly better hrefhttpwwwamazoncomgpproductb009owr0xueight oclock coffee 100 colombian 96 k cupsa tried cupbr br twenty years eight oclock colombian ground fresh ap coffee drank ordered dark italian soon became available either tastes changed coffee changed found colombia version weak lacking characterbr br eight oclock italian roast however stout enough peoples liking brewed 7 oz middle button size tried without cream single squirt coffee creamer strong enough let cream taste dominatebr br bad news come standard either hrefhttpwwwamazoncomgpproductb004olkf6kbarista prima coffeehouse italian roast 24 count kcup portion pack keurig brewersa hrefhttpwwwamazoncomgpproductb001d0izastimothys world coffee rainforest espresso kcup 48 counta
5,"I first saw this product in a youtube clip. I immediately had to get a kit for myself. It's very whimsical and fun way to wish. I try not to use it too much but once I finish my wish papers, I can probably make my own.<br />The set itself comes with the wish paper, pencils, stands, matches, instructions and a really nice envelope to store them in. I would recommend this for people with a more carefree spirit, and people who have or work with kids. Just not for kids though, because of the matches.<br /><br /><a href=""http://www.amazon.com/gp/product/B0042GEDLA"">Flying Wish Paper Red Velvet, Large</a>",Wish away!,1,1,1.0,104,Positive,first saw product youtube clip immediately get kit whimsical fun way wish try use much finish wish papers probably make ownbr set comes wish paper pencils stands matches instructions really nice envelope store would recommend people carefree spirit people work kids kids though matchesbr br hrefhttpwwwamazoncomgpproductb0042gedlaflying wish paper red velvet largea
5,"Found out I gotta go gluten to due to nursing a gluten intolerant baby , I love my gluten desserts so I have to have something good to eat. These Ginger snaps dipped in almond milk are soooo good mmmmmm mmmmm : )",Mmmmm and I don't even like Ginger,0,0,0.0,43,Positive,found gotta go gluten due nursing gluten intolerant baby love gluten desserts something good eat ginger snaps dipped almond milk soooo good mmmmmm mmmmm
5,"You can put this stuff in practically anything.  It is great stuff, but it is pricey.  I wish the company would offer a deal on the bigger bottles and with free shipping.  Then, I would buy more.  As it is, I probably won't order more because of cost. I have tried to get my local heathfood store to carry it and they say they can't get it.  That seems odd to me.  They used to carry it.  Anyway, it's worth trying.  I used to go through a lot of it when the store carried it.  Maybe if everyone writes to amazon and to the company, we can get a better deal on here.  I am going to write them.<br /><br />UPDATE:<br /><br />My healthfood store is now carrying this.  They are only ordering the small bottles.  But, I spoke to a representative at the real salt company and they told me that it is better to have stores carry small bottles so the product stays fresh.  I agree with them and now just buy the small bottles.",REALSALT SEASON IS EXCELLENT,3,3,1.0,177,Positive,put stuff practically anything great stuff pricey wish company would offer deal bigger bottles free shipping would buy probably wont order cost tried get local heathfood store carry say cant get seems odd used carry anyway worth trying used go lot store carried maybe everyone writes amazon company get better deal going write thembr br updatebr br healthfood store carrying ordering small bottles spoke representative real salt company told better stores carry small bottles product stays fresh agree buy small bottles
4,"This Red Pepper looks great and the price was fine. The shipping was great. It is probably not as hot as I would like it to be. No real differance than your store bought Red Hot Crushed Pepper. So I will have to order another brand for my next order. Like I mentioned the Quality looks great and the Color is Rich Red which means that it is Fresh but not as Hot as I would expect. I usually buy the McCormack brand at the store and somtimes it is really hot and other times it is not... So I wanted a good quality Hot Crushed Red Pepper that would also be Hot. This is Hot and the quality is GREAT GREAT!!!! But not any Hotter that McCormacks, so why buy on line if you can buy it in the store??? I will try another brand online and hope it is Hotter? Hope this review is helpful..",Tones Hot Red Crushed Pepper,0,0,0.0,157,Positive,red pepper looks great price fine shipping great probably hot would like real differance store bought red hot crushed pepper order another brand next order like mentioned quality looks great color rich red means fresh hot would expect usually buy mccormack brand store somtimes really hot times wanted good quality hot crushed red pepper would also hot hot quality great great hotter mccormacks buy line buy store try another brand online hope hotter hope review helpful
1,"I should have heeded the other reviewers who noted that this product was stale on arrival. Same thing happened to me. Amazon was quick to remedy the problem, as it always is.<br /><br />But, stay away from this product. The package had no expiration date so there is no telling how old it is. And whole wheat products tend to go stale more quickly.",As Stale As This Review,2,2,1.0,64,Negative,heeded reviewers noted product stale arrival thing happened amazon quick remedy problem always isbr br stay away product package expiration date telling old whole wheat products tend go stale quickly
5,"This mix baked in the Hamilton Beach 26050 Four Square Belgian Waffle Maker is a match made by the waffle gods. Quick to mix (don't overmix, leave some clumps and let the wet/dry mixture sit for a good 5 minutes before adding butter) and bakes without a trace of sticking. Add in minature choclate chips and the kids will be asking for seconds.","perfect texture, inside and out",3,3,1.0,63,Positive,mix baked hamilton beach 26050 four square belgian waffle maker match made waffle gods quick mix dont overmix leave clumps let wetdry mixture sit good 5 minutes adding butter bakes without trace sticking add minature choclate chips kids asking seconds
5,"This is my all time favorite tea. I buy it by the case and drink it every day. If you love black licorice, you will love this tea! It is caffeine free and naturally sweet.",Yummy and healthy!,0,0,0.0,35,Positive,time favorite tea buy case drink every day love black licorice love tea caffeine free naturally sweet
5,"I was a little skeptical about how a sugar free syrup would really taste, but my wife doesn't really enjoy coffee unless it's flavored with something other than plain old sweetener.  I ordered this and tried it out, and she was amazed how good it was.  I tried some myself (I'm not a huge fan of syrup in my coffee), and even I have to admit it's pretty darned good.  If it didn't say sugar free on the label I wouldn't believe it myself.  I definitely recommend this if you like caramel syrup but aren't a fan of all the sugar/carbs!",Great product,0,0,0.0,101,Positive,little skeptical sugar free syrup would really taste wife doesnt really enjoy coffee unless flavored something plain old sweetener ordered tried amazed good tried im huge fan syrup coffee even admit pretty darned good didnt say sugar free label wouldnt believe definitely recommend like caramel syrup arent fan sugarcarbs
5,The company I work for gives these as housewarming gifts to employees when they move.  Everyone loves them!  They're apparently the best brownies they've ever tasted.  :),Delicious!,0,0,0.0,27,Positive,company work gives housewarming gifts employees move everyone loves theyre apparently best brownies theyve ever tasted
5,"Great packets for on the go (even for older kids). They taste good too, and my daughter really likes them. I like that they are organic, and have both fruit and veggies.",Great for on the go,0,0,0.0,32,Positive,great packets go even older kids taste good daughter really likes like organic fruit veggies
5,I've been drinking Earl Grey tea for years now and I've yet to find a better brand than Stash.  Many have tried...all have failed.  The only thing better than Earl Grey however is Double Bergamot Earl Grey!<br /><br />100 count box at such a reasonable price.  A must buy.,Best Earl Grey out there,0,0,0.0,49,Positive,ive drinking earl grey tea years ive yet find better brand stash many triedall failed thing better earl grey however double bergamot earl greybr br 100 count box reasonable price must buy
1,"I decided to try this ""treat"" with my new dog. I am trying to teach her different responses and thought that a treat that did not add calories to her diet would be a good idea.<br /><br />I introduced the treat to her and she ignored it at the beginning. The shape of the container is of one of the old fashioned roll-on deodorants. I moved the ball around to get some of the liquid on it and re-introduced it to my dog. She liked the flavor but was frustrated with it as the ball gets stuck. She tried a few times and ended up yanking the container from my hand and running away with it.<br /><br />She is a very fast dog and when I caught up with her she had managed to rip the ball of the container. Lucky for me she did not swallow the ball as I think it could have killed her. I picked up the ball and threw it away. I could not get container from her as she was busy using it as a chew toy.<br /><br />I will not be buying this product for her as it is hard to use and I do not think that she should be chewing on plastic. The contents were delicious to her as they were a chicken based.<br /><br />I do not recommend this product.",Too confusing for my dog,1,2,0.5,230,Negative,decided try treat new dog trying teach different responses thought treat add calories diet would good ideabr br introduced treat ignored beginning shape container one old fashioned rollon deodorants moved ball around get liquid reintroduced dog liked flavor frustrated ball gets stuck tried times ended yanking container hand running away itbr br fast dog caught managed rip ball container lucky swallow ball think could killed picked ball threw away could get container busy using chew toybr br buying product hard use think chewing plastic contents delicious chicken basedbr br recommend product
1,"These are freeze dried duck liver treats; the description does not say that. I bought them thinking it was duck meat, similar to the freeze dried chicken.<br />Nowhere in the description is liver mentioned. My dog hates liver.",Warning : liver treats,3,4,0.75,38,Negative,freeze dried duck liver treats description say bought thinking duck meat similar freeze dried chickenbr nowhere description liver mentioned dog hates liver
5,"These treats are great, my dog loves them.  I can't say for sure they do anything for her hips but she really enjoys them.  She recommends them highly:)",My dog loves them,0,1,0.0,28,Positive,treats great dog loves cant say sure anything hips really enjoys recommends highly
1,"I agree with Catriona about these bars tasting like a peanut bar and nothing like the advertised description. It seems like the company is trying to pull a fast one here by promoting these bars as almond, walnut and macadamia, especially when peanuts are listed as the first ingredient in tiny print in the ingredients list. Maybe they think that people can't tell the difference between peanuts and macadamia nuts?<br /><br />I would have given these bars two stars since they actually taste OK, but I have a hard time believing that the 4.5 star rating the product currently receives hasn't been created by company shills.<br /><br />It is a shame too, since the cranberry almond bars I also ordered were excellent and actually tasted like the description. If I had only ordered these I likely would never have purchased another product from KIND PLUS.",Deceptive labeling for glorified peanut bars,10,12,0.8333333333333334,145,Negative,agree catriona bars tasting like peanut bar nothing like advertised description seems like company trying pull fast one promoting bars almond walnut macadamia especially peanuts listed first ingredient tiny print ingredients list maybe think people cant tell difference peanuts macadamia nutsbr br would given bars two stars since actually taste ok hard time believing 45 star rating product currently receives hasnt created company shillsbr br shame since cranberry almond bars also ordered excellent actually tasted like description ordered likely would never purchased another product kind plus
5,"I bought a box of the Mango Macadamia KIND bars from Amazon, since I had not seen that flavor at the stores.  They have a really delicious fresh fruity tropical sort of taste.  You can actually recognize what you are eating.  There are whole macadamia nuts in the bar.  They really do not taste like any other gluten-free bars that I have tried.  The KIND bars are so much better!  My absolute favorite is the Dark Chocolate Cherry Cashew!  I buy several of those every time that I go to Kroger or Whole Foods.  I highly recommend these snack bars!",The Best Gluten Free Bars!,2,2,1.0,100,Positive,bought box mango macadamia kind bars amazon since seen flavor stores really delicious fresh fruity tropical sort taste actually recognize eating whole macadamia nuts bar really taste like glutenfree bars tried kind bars much better absolute favorite dark chocolate cherry cashew buy several every time go kroger whole foods highly recommend snack bars
5,"I'm a huge tea drinker; loose tea, bagged tea, any kind of tea. I personally prefer simpler teas without too many competing flavors.<br /><br />I used to rub lemons with sugar cubes to infuse my green tea with a lemon flavor. It tasted amazing. Then I bought these tea bags on a whim and I haven't gone back. It's easier, there's less mess and it tastes just as great. I go through as many as six or seven cups a day.<br /><br />I buy mine at a local grocery store instead of online and as long as Bigelow makes them and my local grocery store sells them, I'll continue to buy them.","Simple, Amazing, Delicious",0,0,0.0,112,Positive,im huge tea drinker loose tea bagged tea kind tea personally prefer simpler teas without many competing flavorsbr br used rub lemons sugar cubes infuse green tea lemon flavor tasted amazing bought tea bags whim havent gone back easier theres less mess tastes great go many six seven cups daybr br buy mine local grocery store instead online long bigelow makes local grocery store sells ill continue buy
5,"I am a recently diagnosed Celiac trying to navigate the world of gluten-free. I bought one pack of Pamela's Pecan Shortbread and one of Peanut Butter to try. BINGO!<br />The peanut butter cookies are good, but too chewy for my taste. My husband suggested a few minutes in the over. 350 degrees for five minutes made them wonderful! REAL peanut butter w/ molasses flavor in a nice crunchy cooky.<br />The pecan shortbread are simply fabulous!! I think because of the texture, some were crumbled, but I'll do crumbled any day for a cooky this good. My husband, who loves Oreos told me to put these away and keep them for myself because the cost is, of course higher than ordinary cookies. He agreed that these taste better than any other shortbread cookie either of us has ever had.",I am not missing anything,1,1,1.0,138,Positive,recently diagnosed celiac trying navigate world glutenfree bought one pack pamelas pecan shortbread one peanut butter try bingobr peanut butter cookies good chewy taste husband suggested minutes 350 degrees five minutes made wonderful real peanut butter w molasses flavor nice crunchy cookybr pecan shortbread simply fabulous think texture crumbled ill crumbled day cooky good husband loves oreos told put away keep cost course higher ordinary cookies agreed taste better shortbread cookie either us ever
2,"Let me just say for the record that there are worse products on the market for dogs than Purine Benful. While there is a lot of filler in Beneful--it may tell you something that the main ingredients are cornmeal and a chicken by product--it does provide dogs protein. The dog in my life did seem to like it but there are healthier products on the market.<br /><br />While the bag is sturdy and resealable, I did not have a pleasant experience with Amazon's delivery which lowers my score. Amazon sent the dog food via UPS ground and the box was literally in pieces. It was disappointing to say the least.","Mixed Thoughts on Dog Food, Awful Delivery",0,0,0.0,110,Negative,let say record worse products market dogs purine benful lot filler benefulit may tell something main ingredients cornmeal chicken productit provide dogs protein dog life seem like healthier products marketbr br bag sturdy resealable pleasant experience amazons delivery lowers score amazon sent dog food via ups ground box literally pieces disappointing say least
2,"These bars smell so wonderful, but they are just too hard to chew. The item came on time, they should be fresh, but not this time. I did heat one up with some butter, that was a bit better, it did not make mw sick, bur gee, that is a lot of work for a snack. I feel like this review is a test at school. 20 word count, repeated words do not count. So, how I'm I doing. We could put some words like, imbecitity in here, or sonorous. I bet these words have never even show up on a shopping list. Well, I love amazon, so no hard feeling. HaHa. Oh, yeah, where is spell check?",too hard to eat,0,4,0.0,118,Negative,bars smell wonderful hard chew item came time fresh time heat one butter bit better make mw sick bur gee lot work snack feel like review test school 20 word count repeated words count im could put words like imbecitity sonorous bet words never even show shopping list well love amazon hard feeling haha oh yeah spell check
5,"A great cup o joe!<br /><br />Full bodied but non-offensive, Dark Magic is the perfect cup for coffee drinkers who want a bold flavor who's presence is something to consider. Not just the generic warm black water you'll get at the Waffle House.<br /><br />Many different tones and hints in these cups, great after a big meal or to help kick start your day.",A Liquid Cigar.,1,1,1.0,64,Positive,great cup joebr br full bodied nonoffensive dark magic perfect cup coffee drinkers want bold flavor whos presence something consider generic warm black water youll get waffle housebr br many different tones hints cups great big meal help kick start day
5,"Some time ago I purchased the 24 packs of Galil chestnuts ""without"" the shell.  They were very good. The next time I decided to get the ones ""with"" the shell on. These were very good also, even better in my opinion. I do buy and roast my own fresh chestnuts occasionally so I know what they are like fresh. Here is what I found with Galil foil sealed chestnut types.  The shelled ones taste good, a tiny bit sweeter then the ones with the shell (not much thou). The shelled ones were smaller in size then the ones with shell after shelling (about 30% smaller). Again not a problem. The shelled ones were a bit moister (my one daughter preferred the moistness,not me). Fresh roasted are never that moist. Again this may not be a problem for you. Now, the ones with the shell on in my opinion are better as they taste closer to real roasted fresh chestnuts. The shell ones have the more dry in the mouth texture like fresh (but not exactly). All in all I like the ones with the shell better (closer to the fresh roasted). OH YA the shells come off pretty easy on most, a few are harder but well worth the extra work. Also the shell is very light, and I believe you get more for your money with the ones with shell on. I love these.",Galil with shell vs Galil without,0,0,0.0,235,Positive,time ago purchased 24 packs galil chestnuts without shell good next time decided get ones shell good also even better opinion buy roast fresh chestnuts occasionally know like fresh found galil foil sealed chestnut types shelled ones taste good tiny bit sweeter ones shell much thou shelled ones smaller size ones shell shelling 30 smaller problem shelled ones bit moister one daughter preferred moistnessnot fresh roasted never moist may problem ones shell opinion better taste closer real roasted fresh chestnuts shell ones dry mouth texture like fresh exactly like ones shell better closer fresh roasted oh ya shells come pretty easy harder well worth extra work also shell light believe get money ones shell love
2,tastes like plastic! Tastes nothing like mango at all. Its lightly flavored..not sure what it tastes like. but its pretty flavor-less.<br /><br />I wouldn't recommend this flavor.,Not so tasty,0,1,0.0,27,Negative,tastes like plastic tastes nothing like mango lightly flavorednot sure tastes like pretty flavorlessbr br wouldnt recommend flavor
